NAME Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP 
Z1203804942 -27.22824 32 5 -5.855022 -4.430577 -26.690934 2.743134 10.60494 9.531335 -90.284785 1 0.009608 
Z219151446 -28.765709 36 2 -3.879286 -6.568179 -27.883562 3.130035 9.923224 7.107133 -75.892494 1 2.698081 
Z1700087119 -28.411671 36 4 -3.116117 -7.212181 -29.567102 6.282109 10.0881 5.91711 -91.670054 1 2.301709 
Z26326084 -27.22272 36 2 -4.318603 -6.391629 -27.183983 6.76766 12.884004 6.525329 -93.872837 1 2.553111 
Z240974220 -25.73159 36 6 -6.484797 -5.605555 -23.811347 4.353146 12.528028 7.948475 -89.232723 1 1.906195 
Z26326009 -30.1231 38 2 -3.775855 -6.534036 -29.770502 4.170082 11.760169 5.390895 -85.919535 1 2.223726 
Z26325942 -28.948384 38 2 -3.751269 -6.407679 -29.755515 5.982696 12.554871 6.022473 -87.501728 1 2.207352 
Z26326250 -28.876741 38 3 -3.830165 -6.698507 -29.749158 9.172054 11.642312 6.846969 -99.029586 1 2.929874 
Z25218171 -28.316319 38 2 -4.022528 -5.4346 -25.929645 4.459699 11.244293 2.724673 -73.531437 1 3.686732 
Z750606126 -28.141064 38 6 -5.174869 -6.092707 -25.833113 6.682957 11.916038 3.529626 -79.199817 1 1.50663 
Z26326168 -27.525767 38 3 -3.850628 -6.52699 -28.526902 7.041088 12.203819 6.308246 -98.487891 1 2.48491 
Z1343453496 -26.05012 38 7 -2.424391 -5.941376 -28.611476 9.045637 8.069313 3.672428 -87.781495 1 3.16724 
Z1670776321 -25.731695 38 5 -3.090777 -6.229034 -30.396681 6.799119 13.353406 5.519772 -71.119049 1 1.716665 
Z1002387680 -25.24469 38 3 -3.969994 -6.664741 -26.979977 9.426936 12.989843 7.124797 -102.0418 1 4.457402 
Z981514584 -25.193222 38 3 -3.965231 -6.534835 -27.018711 9.344479 12.988586 7.112763 -99.669812 1 4.188054 
Z224880570 -28.496297 39 5 -4.903839 -6.153166 -28.241802 8.189259 11.783746 6.722771 -96.158573 1 2.106869 
Z18704316 -27.339041 39 2 -3.547242 -6.55292 -26.76133 8.24796 10.859528 5.216094 -67.819853 1 3.769497 
Z89271888 -27.119129 39 3 -4.54727 -7.36046 -21.908116 7.822847 10.524048 2.32129 -84.841935 1 5.304889 
Z381145068 -27.001271 39 3 -1.666072 -7.396477 -31.828953 7.872273 10.519712 6.528335 -107.599025 1 4.037278 
Z27293337 -26.913297 39 7 -5.54766 -6.453788 -25.587231 6.771933 12.090106 5.70602 -86.247563 1 1.954933 
Z1728116856 -25.853186 39 6 -4.432276 -5.822321 -24.449325 5.288156 7.643277 6.633777 -61.494558 1 3.251796 
Z27682879 -25.624507 39 6 -3.595439 -5.469744 -32.061879 6.106736 13.607857 8.17071 -86.243322 1 2.220365 
Z216242432 -24.997959 39 6 -4.217672 -6.532452 -22.019528 7.596647 9.334503 2.224461 -78.706209 1 1.636444 
Z94605063 -34.194119 40 4 -6.64469 -5.776396 -32.46219 6.533346 14.55853 8.530946 -69.520106 1 1.252922 
Z27681627 -28.128337 40 4 -3.611099 -6.609069 -31.45678 6.236805 12.052955 8.261946 -95.423814 1 2.132328 
Z225692076 -27.855668 40 5 -5.00652 -5.83581 -26.526624 9.604835 11.488582 5.501527 -92.401465 1 2.294652 
Z647909900 -27.392359 40 4 -4.67378 -6.210047 -26.710223 6.5309 11.920738 6.004101 -83.491413 1 0.862212 
Z1550098593 -26.769183 40 6 -4.932361 -6.275296 -24.829851 8.361234 11.46957 3.851232 -87.070866 1 2.635762 
Z89322392 -26.662496 40 2 -2.13994 -6.425417 -26.332388 9.65078 7.431972 3.962106 -85.771994 1 2.644972 
Z217921334 -26.095819 40 2 -2.279035 -6.74821 -28.228487 4.239013 10.235704 5.36841 -100.170561 1 2.474652 
Z24585386 -26.09079 40 4 -4.633193 -5.037502 -29.925887 5.326359 15.643688 7.271872 -61.910852 1 1.874028 
Z910722708 -25.15157 40 6 -5.398044 -5.072635 -28.603056 8.603252 15.853322 7.601836 -76.159946 1 1.124132 
Z973017742 -25.094278 40 7 -6.084843 -5.676601 -23.166461 6.476369 10.093334 8.333572 -73.905067 1 0.650063 
Z89097322 -30.249073 41 2 -5.952059 -6.747463 -30.374561 6.499464 15.13516 10.838831 -87.976795 1 2.479716 
Z25467650 -27.6533 41 6 -6.593775 -5.814474 -30.108535 7.759577 17.214238 9.882585 -92.092662 1 3.45459 
Z750595774 -27.313295 41 6 -6.950422 -5.516503 -25.642134 4.214922 13.116059 9.352151 -84.981484 1 1.3613 
Z1005650958 -27.291537 41 6 -5.67009 -5.222657 -26.967914 3.882134 13.473964 5.780928 -92.736133 1 1.464144 
