NAME Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP
Z287372248 -39.177794 49.0 7.0 -9.044814 -5.809159 -34.027726 9.165569 15.396807 8.905822 -121.174202 1.0 2.641812
Z287373314 -38.710673 49.0 7.0 -9.044576 -6.472364 -30.62838 7.108621 14.803442 5.809676 -106.087395 1.0 1.996644
Z13989704 -38.283952 48.0 6.0 -7.709708 -6.773289 -33.418237 6.189217 16.321774 5.055483 -86.328928 1.0 1.701252
Z287372980 -38.072761 49.0 7.0 -9.197408 -6.597104 -31.440573 6.487315 15.397207 8.044559 -111.594273 1.0 1.996644
Z114048398 -36.099484 45.0 6.0 -7.728392 -6.562454 -32.857093 5.472109 17.323248 6.234618 -79.975229 1.0 0.857061
Z991913770 -36.017071 47.0 7.0 -4.783388 -8.146543 -32.58374 7.641601 10.941279 2.607371 -98.335919 1.0 4.095675
Z94605063 -34.194119 40.0 4.0 -6.64469 -5.776396 -32.46219 6.533346 14.55853 8.530946 -69.520106 1.0 1.252922
Z232629838 -33.676147 51.0 3.0 -5.461656 -7.113787 -31.391292 7.949348 14.054187 5.998078 -109.606191 1.0 3.987694
Z287372568 -33.092253 53.0 8.0 -8.994006 -5.873027 -27.749603 4.92171 15.591738 7.353501 -109.062346 1.0 1.959808
Z18416931 -33.074258 47.0 2.0 -6.016527 -7.272922 -30.694768 9.001014 13.529282 9.648818 -78.124102 1.0 2.015093
Z56919088 -32.956529 49.0 1.0 -7.159886 -6.685422 -27.548976 9.13316 14.373908 8.796606 -96.82779 1.0 3.994724
Z1095384373 -32.88228 50.0 7.0 -2.912912 -7.333435 -33.219748 7.989393 9.305838 2.183574 -103.110205 1.0 3.488343
Z17963473 -32.765318 43.0 7.0 -5.288761 -5.51774 -31.649428 9.963154 12.653718 3.441322 -70.968356 1.0 2.85971
Z18319473 -32.389732 47.0 5.0 -2.397707 -8.109028 -32.552648 8.549368 9.209712 2.658909 -106.751979 1.0 3.674731
Z1466144281 -32.006485 55.0 5.0 -3.981232 -7.51509 -31.750468 9.73131 10.101601 6.477893 -98.612089 1.0 3.552831
Z15434720 -31.890896 51.0 4.0 -3.548386 -7.420911 -37.370283 9.258071 14.312265 9.537296 -96.374793 1.0 4.270444
Z414855960 -31.718898 44.0 8.0 -5.949671 -6.587464 -28.514492 4.893686 11.413837 4.396189 -80.668846 1.0 3.058376
Z28129268 -31.626454 47.0 5.0 -5.754989 -6.634783 -31.1404 9.748017 13.617152 8.040164 -93.201659 1.0 3.674637
Z43999731 -31.431525 53.0 5.0 -4.665566 -6.578662 -33.399127 5.435334 14.736209 6.253079 -107.896729 1.0 3.650422
Z606141014 -31.320119 43.0 6.0 -3.382893 -6.532874 -31.965671 9.571937 9.353711 4.493963 -92.495663 1.0 3.827237
Z18452549 -31.266633 45.0 4.0 -4.228187 -6.818598 -33.907371 7.979553 15.620582 5.744053 -100.940609 1.0 4.43273
Z846964938 -31.247953 47.0 5.0 -5.878029 -7.279255 -29.891271 8.612637 15.150031 6.105012 -92.199765 1.0 1.906227
Z742350924 -31.046256 44.0 5.0 -5.753142 -6.948502 -31.015435 9.646436 13.884438 8.737569 -101.319849 1.0 2.724298
Z647208958 -30.904427 46.0 6.0 -6.439855 -5.849528 -30.234547 9.778462 16.535939 5.363913 -112.705914 1.0 1.733349
Z647208958 -30.730176 46.0 6.0 -6.821336 -5.839402 -29.853496 9.16834 15.966644 7.149573 -95.939304 1.0 1.733349
Z1286138055 -30.609729 48.0 8.0 -5.667242 -7.057788 -30.368288 6.28538 15.0718 4.123559 -92.979285 1.0 1.765797
Z1486156824 -30.597595 48.0 4.0 -5.655788 -6.940667 -25.748923 3.332036 11.544626 4.624622 -102.191532 1.0 1.949648
Z15434687 -30.579633 51.0 5.0 -5.782055 -6.615651 -35.227553 8.780042 18.212797 10.68092 -96.227507 1.0 2.468294
Z53058673 -30.570329 43.0 5.0 -3.902573 -7.11307 -31.738149 9.347719 11.344953 6.512686 -92.100974 1.0 2.703323
Z65729356 -30.544267 53.0 4.0 -5.452438 -6.878835 -30.715074 8.889219 15.097656 7.35008 -110.425746 1.0 1.64807
Z89097322 -30.249073 41.0 2.0 -5.952059 -6.747463 -30.374561 6.499464 15.13516 10.838831 -87.976795 1.0 2.479716
